0.925992,1,1,-89.0181,29.9983,0.0303292,-3.52715,-0.0945893,-0.00690249,4,1.6,-0.180659
0.975992,1,2,-88.2731,30.0298,0.057547,-3.4671,0.115907,0.115181,3.98087,1.59459,-0.122616
1.02599,1,2,-87.3925,29.9632,-0.00102802,-3.26462,0.485562,0.328401,3.9644,1.59349,0.114187
1.07599,1,2,-86.6274,29.9701,0.00616373,-3.18228,0.696322,0.441144,3.94728,1.58707,0.444085
1.12599,1,2,-85.8298,29.9967,0.0333214,-3.20731,0.589493,0.366313,3.93284,1.58159,0.645248
1.17599,1,2,-84.9319,29.9997, ,-3.1745,0.298991,0.190366,3.92067,1.86744,0.622886
1.225,1,2,-84.1924,30.0001,0.0392209,-3.18729,0.242569,0.151919,3.90684,1.861,0.573435
1.275,1,2,-83.4326,30.028,0.0636143,-3.33798,0.157518,0.0945924,3.8945,1.85928,0.487826
1.325,1,2,-82.7604,30.0082,0.0365092,-3.33267,0.171562,0.0996536,3.88152,1.8517,0.437351
1.375,1,2,-81.976,29.9778,0.00811103,-3.29596,0.211402,0.120191,3.88141,1.8474,0.426928
1.42501,1,2,-81.3586,29.9941,0.0152176,-3.17042,0.503763,0.286797,3.86244,1.84237,0.596972
1.47501,1,2,-80.5909,29.994,0.0144975,-3.20522,0.403233,0.21972,3.844,1.83343,0.652433
1.52501,1,2,-79.7172,29.9765,0.00496472,-3.26417,0.493266,0.262671,3.8331,1.83093,0.745269
1.57501,1,2,-78.9686,29.9457,-0.0238518,-3.16442,0.715824,0.384205,3.81941,1.82585,0.944547
1.62501,1,2,-78.2033,29.964,-0.00382327,-3.10364,0.849546,0.450561,3.81072,2.23862,1.16206
1.67502,1,2,-77.3393,29.9767,0.014225,-3.20438,0.727445,0.3644,3.80394,2.23561,1.23644
1.72502,1,2,-76.6402,29.9775,0.00999977,-3.1916,0.648574,0.308327,3.79133,2.23152,1.2393
1.77502,1,2,-75.9137,29.99,0.0208061,-3.14693,0.804167,0.388763,3.78049,2.22657,1.33586
