airport avgTaxiOut avgTaxiIn
 RDM	13.000000	3.500000
 RDU	21.000000	6.432000
 RIC	25.270270	5.357143
 RKS	13.000000	2.500000
 RNO	12.766667	4.880000
 ROA	17.846154	5.875000
 ROC	25.950000	6.333333
 RST	22.000000	5.000000
 RSW	19.222222	4.820000
 SAN	18.235294	5.043103
 SAT	18.711111	4.148649
 SAV	20.821429	4.782609
 SBA	10.933333	3.470588
 SBN	21.500000	7.076923
 SBP	 7.666667	3.666667
 SCC	 6.000000	3.000000
 SDF	17.225000	5.185185
 SEA	18.565789	7.353933
 SFO	20.021459	6.782759
 SGF	17.666667	3.150000
 SHV	16.000000	3.846154
 SJC	12.607843	4.545455
 SJU	15.700000	6.542857
 SLC	23.323741	5.935484
 SMF	14.948276	5.093750
 SNA	19.232877	8.833333
 SPI	30.000000	2.500000
 SRQ	13.666667	5.714286
 STL	17.578125	4.888889
 STT	11.333333	3.750000
 SWF	24.333333	5.000000
 TLH	17.777778	3.400000
 TPA	18.864583	5.116505
 TRI	17.500000	5.166667
 TUL	14.740741	4.500000
 TUS	13.130435	4.241379
 TVC	31.250000	4.285714
 TYS	16.040000	4.800000
 VLD	 7.500000	4.000000
 VPS	12.777778	7.461538
 WRG	 4.000000	3.666667
 XNA	19.800000	4.250000
 YUM	12.400000	4.000000
